#KOI	KIC	Kp	CDPP	RA	DEC	Teff	log(g)	R	M	Teff	 
# [mag]	[ppm]	[Hr]	[Deg]	[K]	[cgs]	[Rsun]	[Msun]	 
229	3847907	14.720	114	19.38439	38.9280	5608	4.37	1.12	1.07	 
232	4833421	14.247	64.8	19.40746	39.9491	5868	4.68	0.77	1.04	 
234	8491277	14.283	112	19.35721	44.5188	5735	4.36	1.15	1.09	 
235	8107225	14.353	100	19.67400	43.9152	5041	4.65	0.74	0.90	 
237	8041216	14.176	97.5	19.73009	43.8521	5679	4.53	0.92	1.05	 
238	7219825	14.061	58.9	19.79991	42.7820	6032	4.44	1.05	1.10	 
239	6383785	14.762	171	19.81344	41.7302	5983	4.54	0.92	1.08	 
240	8026752	14.982	215	19.40534	43.8602	5996	4.60	0.86	1.07	 
241	11288051	14.139	88.3	19.11685	49.0649	5055	4.85	0.57	0.85	 
242	3642741	14.747	404	19.37577	38.7077	5437	4.51	0.93	1.02	 
244	4349452	10.734	15.8	19.10923	39.4879	6104	4.37	1.14	1.10	1	 
245	8478994	9.710	22.6	18.93730	44.5182	5419	4.48	0.87	0.83	1	 
246	11295426	10.000	36.3	19.40215	49.0403	5658	4.41	1.06	1.07	 
247	11852982	14.216	130	18.99991	50.1468	3804	4.56	0.60	0.48	 
248	5364071	15.264	232	19.48631	40.5918	3974	4.53	0.67	0.55	 
249	9390653	14.486	123	18.99479	45.9724	3654	4.42	0.73	0.51	 
250	9757613	15.473	296	18.99607	46.5665	3933	4.51	0.68	0.55	 
251	10489206	14.752	322	19.88388	47.6049	3846	4.58	0.59	0.49	 
252	11187837	15.613	238	19.36010	48.8226	3897	4.60	0.58	0.49	 
253	11752906	15.254	320	19.03829	49.9623	3951	4.57	0.62	0.52	 
254	5794240	15.979	357	19.52486	41.0643	3948	4.54	0.65	0.53	 
255	7021681	15.108	216	19.19054	42.5426	3989	4.48	0.73	0.58	 
256	11548140	15.373	1996	19.01234	49.5654	3639	4.17	1.10	0.65	 
257	5514383	10.868	43	18.97568	40.7198	6023	4.10	1.61	1.18	 
258	11231334	9.890	115	18.96946	48.9613	6278	4.17	1.48	1.18	 
260	8292840	10.500	24.5	19.28982	44.2085	6096	4.37	1.13	1.09	1	 
261	5383248	10.297	39	19.80464	40.5251	5588	3.96	1.89	1.20	 
262	11807274	10.421	30.6	19.20672	50.0337	6143	4.24	1.35	1.15	 
263	10514430	10.821	39.4	18.75159	47.7744	5550	4.33	1.17	1.07	 
265	12024120	11.994	36	19.80126	50.4090	6032	4.38	1.13	1.11	 
268	3425851	10.560	23.4	19.04859	38.5070	4808	4.51	0.79	0.73	1	 
269	7670943	10.927	22.6	19.15638	43.3784	6258	4.12	1.58	1.20	 
270	6528464	11.411	26.7	19.58219	41.9008	5594	4.48	0.90	0.88	1	 
271	9451706	11.485	35.5	19.01267	46.0280	6089	4.47	1.01	1.10	 
273	3102384	11.457	23.1	19.16523	38.2288	5503	4.76	0.68	0.97	 
274	8077137	11.390	26.9	18.83282	43.9802	6013	4.37	1.14	1.11	 
275	10586004	11.696	35.2	19.02075	47.8486	5809	4.46	0.95	0.94	1	 
276	11133306	11.854	22.8	19.31096	48.7062	5949	4.36	1.15	1.11	 
277	11401755	11.866	42.1	19.41668	49.2318	5848	4.45	0.97	0.97	1	 
279	12314973	11.684	70.9	19.69910	51.0135	6152	4.27	1.30	1.14	 
280	4141376	11.072	23.1	19.11263	39.2119	6435	4.22	1.39	1.18	 
281	4143755	11.947	36.1	19.17700	39.2443	5699	3.89	2.08	1.23	 
282	5088536	11.529	42.6	19.23004	40.2453	5900	4.43	1.01	0.99	1	 
283	5695396	11.525	37.1	19.23539	40.9423	5679	3.99	1.82	1.19	 
284	6021275	11.818	25.5	18.88239	41.3430	5898	4.13	1.54	1.16	 
285	6196457	11.565	48.1	19.27240	41.5630	5822	4.45	0.96	0.95	1	 
288	9592705	11.020	27.8	19.58110	46.2267	5946	4.41	1.04	1.01	1	 
289	10386922	12.747	46.2	18.86304	47.5749	5812	4.46	0.95	0.94	1	 
291	10933561	12.848	54.8	19.81853	48.3203	5491	4.61	0.82	1.01	 
292	11075737	12.872	51	19.15511	48.6734	5743	4.26	1.29	1.11	 
294	11259686	12.674	61.5	19.88460	48.9167	5861	4.46	1.02	1.08	 
295	11547513	12.324	56.1	18.98260	49.5984	5936	4.41	1.04	1.01	1	 
296	11802615	12.935	43.7	19.00278	50.0754	5811	4.39	1.10	1.09	 
297	11905011	12.182	41.9	19.08315	50.2424	6050	4.27	1.30	1.13	 
298	12785320	12.713	47.1	19.36628	52.0555	5445	4.48	0.88	0.84	1	 
299	2692377	12.899	95.6	19.04411	37.9645	5544	3.97	1.88	1.19	 
301	3642289	12.730	53.3	19.36634	38.7955	6131	4.34	1.19	1.13	 
302	3662838	12.059	63.5	19.70725	38.7357	6711	4.15	1.56	1.24	 
303	5966322	12.193	35.5	19.57835	41.2954	5497	4.50	0.95	1.03	 
304	6029239	12.549	52.6	19.13933	41.3739	5885	3.98	1.86	1.21	 
305	6063220	12.970	59.4	19.82360	41.3001	4653	4.27	1.17	0.92	 
306	6071903	12.630	74.7	19.95464	41.3846	5120	4.16	1.42	1.07	 
307	6289257	12.797	59.1	19.54536	41.6178	6081	4.39	1.11	1.11	 
308	6291837	12.351	58.1	19.59531	41.6029	6054	4.14	1.53	1.17	 
312	7050989	12.459	40.8	19.76449	42.5988	6014	4.38	1.09	1.04	1	 
313	7419318	12.990	50.9	18.80904	43.0391	5205	4.35	1.12	1.01	 
314	7603200	12.925	201	19.35877	43.2930	3900	4.59	0.61	0.53	1	 
315	7700622	12.968	58.6	19.81813	43.3333	4711	4.17	1.35	0.99	 
316	8008067	12.701	60.5	18.82613	43.8894	5561	4.32	1.18	1.07	 
317	8121310	12.885	64.2	19.92109	43.9980	6464	4.06	1.72	1.24	 
318	8156120	12.211	80.1	19.21027	44.0688	6366	4.25	1.34	1.17	 
319	8684730	12.711	32.2	19.34117	44.8729	5835	4.45	0.97	0.96	1	 
321	8753657	12.520	34.7	19.45654	44.9682	5433	4.74	0.70	0.96	 
323	9139084	12.465	89	18.93741	45.5069	5403	4.26	1.27	1.06	 
326	9880467	12.960	189	19.11040	46.7835	3240	4.90	0.27	0.21	1	 
327	9881662	12.996	45.3	19.15797	46.7682	6144	4.47	1.02	1.11	 
330	11361646	13.928	85.9	19.79061	49.1621	5749	4.25	1.31	1.11	 
331	10285631	13.497	64.2	19.74556	47.3588	5335	4.86	0.59	0.91	 
332	10290666	13.046	45.6	19.84340	47.3963	5552	4.73	0.71	0.99	 
333	10337258	13.390	219	19.39719	47.4063	6310	4.45	1.05	1.13	 
335	10470206	13.893	65.7	19.45457	47.6753	6380	4.14	1.54	1.20	 
337	10545066	13.936	83.5	19.71232	47.7481	5778	4.55	0.91	1.06	 
338	10552611	13.448	108	19.86473	47.7317	4910	4.18	1.36	1.02	 
339	10587105	13.763	88.4	19.05922	47.8804	6013	4.69	0.77	1.05	 
340	10616571	13.057	372	19.84431	47.8014	5544	3.86	2.15	1.23	 
341	10878263	13.338	114	19.86410	48.2444	5425	4.33	1.16	1.05	 
343	10982872	13.203	79.1	19.67459	48.4813	5703	4.45	1.02	1.07	 
344	11015108	13.400	68.9	18.88935	48.5490	5715	4.34	1.16	1.08	 
345	11074541	13.340	82.8	19.10165	48.6836	4794	4.10	1.51	1.05	 
346	11100383	13.524	105	19.91073	48.6064	4962	4.39	1.04	0.96	 
348	11194032	13.933	115	19.57905	48.8251	4667	4.20	1.28	0.96	 
349	11394027	13.586	52.3	19.12351	49.2617	5652	4.36	1.14	1.08	 
350	11395587	13.387	66	19.19076	49.2645	5775	4.37	1.12	1.09	 
351	11442793	13.804	88.2	18.96223	49.3052	6103	4.53	0.94	1.09	 
352	11521793	13.770	77.6	19.87118	49.4126	5714	4.39	1.10	1.08	 
353	11566064	13.374	92.7	19.68085	49.5622	6679	4.37	1.18	1.18	 
354	11568987	13.235	91.9	19.76124	49.5401	5941	3.90	2.09	1.25	 
355	11621223	13.174	65.7	19.77111	49.6963	6062	4.47	1.01	1.10	 
356	11624249	13.807	124	19.84909	49.6372	5124	4.07	1.61	1.12	 
360	12107021	13.021	0	19.28099	50.6509	5994	4.39	1.08	1.04	1	 
361	12404954	13.100	90.5	19.32538	51.2771	5706	4.56	0.89	1.05	 
364	7296438	10.087	17.6	19.72482	42.8812	5551	4.45	1.01	1.05	 
365	11623629	11.195	17.8	19.83246	49.6235	5389	4.57	0.86	0.99	 
366	3545478	11.714	32.6	19.44428	38.6193	6987	4.30	1.44	1.52	1	 
367	4815520	11.105	36.7	18.96481	39.9118	6046	4.33	1.19	1.12	 
368	6603043	11.375	14.5	19.39031	42.0869	9034	4.13	1.89	1.77	 
369	7175184	11.992	35.2	18.79438	42.7755	6153	4.46	1.03	1.11	 
370	8494142	11.931	38.2	19.42585	44.5291	6207	3.83	2.29	1.30	 
371	5652983	12.193	49.9	19.97841	40.8565	4997	3.60	3.01	1.33	 
372	6471021	12.391	72.2	19.94150	41.8668	5638	4.50	0.95	1.05	 
373	7364176	12.765	37.2	19.48233	42.9095	5816	4.26	1.30	1.11	 
374	8686097	12.209	25.4	19.37502	44.8740	5829	4.28	1.26	1.11	 
375	12356617	13.293	51.7	19.41341	51.1443	5692	4.43	1.04	1.07	 
377	3323887	13.803	146	19.03826	38.4009	5722	4.78	0.68	1.00	 
379	2446113	13.319	62	19.47045	37.7762	6203	4.11	1.59	1.19	 
384	3353050	13.281	72.6	19.60998	38.4583	5744	4.30	1.22	1.09	 
385	3446746	13.435	66.1	19.48101	38.5486	5466	4.42	1.04	1.04	 
386	3656121	13.838	102	19.60738	38.7102	5969	4.38	1.12	1.11	 
387	3733628	13.577	116	19.14791	38.8625	4460	4.54	0.74	0.69	1	 
388	3831053	13.644	59.2	18.98046	38.9368	5569	4.48	0.89	0.87	1	 
392	3942670	13.954	72.3	19.19838	39.0872	5684	4.28	1.25	1.09	 
393	3964109	13.542	68.8	19.60194	39.0519	6084	4.75	0.72	1.05	 
398	9946525	15.342	236	19.31908	46.8588	5101	4.55	0.86	0.94	 
401	3217264	14.001	69.9	19.05691	38.3841	5264	4.18	1.40	1.08	 
403	4247092	14.169	90.9	19.12531	39.3784	5565	4.44	1.02	1.05	 
408	5351250	14.985	199	19.21561	40.5209	5631	4.49	0.96	1.05	 
409	5444548	14.150	89.7	19.37109	40.6920	5709	5.01	0.51	0.95	 
410	5449777	14.454	82.9	19.48320	40.6961	5968	4.38	1.12	1.10	 
412	5683743	14.288	80.6	18.88384	40.9905	5584	4.28	1.26	1.09	 
413	5791986	14.769	167	19.47752	41.0232	5236	4.56	0.86	0.97	 
415	6289650	14.110	65.1	19.55374	41.6064	5823	4.36	1.15	1.09	 
416	6508221	14.290	94	19.12437	41.9891	5083	4.65	0.75	0.91	 
417	6879865	14.847	222	19.74997	42.3355	5635	4.59	0.85	1.04	 
418	7975727	14.479	68.8	19.79329	43.7072	5153	4.42	1.01	0.98	 
419	8219673	14.519	142	19.05942	44.1817	5723	4.70	0.75	1.02	 
420	8352537	14.247	79.4	19.07458	44.3453	4687	4.51	0.83	0.82	 
421	9115800	14.995	179	19.99373	45.4397	5181	4.32	1.16	1.02	 
422	9214713	14.740	132	19.35932	45.6653	6002	4.40	1.09	1.10	 
423	9478990	14.327	268	19.79735	46.0343	5992	4.45	1.03	1.10	 
425	9967884	14.694	236	19.86495	46.8046	5689	4.54	0.91	1.05	 
426	10016874	14.733	122	19.60153	46.9996	5796	4.33	1.19	1.10	 
427	10189546	14.621	170	18.86819	47.2611	5293	4.50	0.93	0.99	 
494	3966801	14.885	176	19.64746	39.0738	4854	4.90	0.52	0.78	 
496	4454752	14.411	113	19.25033	39.5637	5237	4.32	1.16	1.02	 
497	4757437	14.606	100	19.64734	39.8251	6045	4.50	0.98	1.09	 
499	4847534	14.272	85.6	19.66680	39.9529	5362	4.53	0.90	1.00	 
500	4852528	14.804	257	19.74084	39.9788	4250	4.52	0.74	0.66	 
501	4951877	14.612	153	19.89821	40.0759	5556	4.50	0.95	1.04	 
503	5340644	15.000	226	18.89999	40.5528	4110	4.55	0.67	0.59	 
504	5461440	14.560	106	19.69552	40.6482	5403	4.75	0.68	0.95	 
505	5689351	14.194	122	19.06666	40.9193	4985	4.24	1.26	1.01	 
506	5780715	14.731	116	19.23392	41.0959	5777	4.56	0.90	1.06	 
507	5812960	14.915	193	19.83358	41.0570	5117	4.41	1.02	0.98	 
508	6266741	14.387	109	18.96808	41.6296	5497	4.26	1.27	1.08	 
509	6381846	14.883	246	19.78479	41.7555	5437	4.57	0.87	1.00	 
510	6422155	14.532	161	18.89123	41.8219	5355	4.39	1.07	1.03	 
511	6451936	14.209	110	19.64311	41.8841	5802	4.40	1.08	1.09	 
512	6838050	14.825	157	18.80742	42.3545	5406	4.32	1.18	1.05	 
513	6937692	14.856	135	19.21537	42.4136	6288	4.58	0.90	1.10	 
517	8015907	14.034	122	19.10190	43.8734	5510	4.31	1.19	1.07	 
518	8017703	14.287	92.4	19.16261	43.8321	4822	4.60	0.76	0.84	 
519	8022244	14.939	157	19.30355	43.8762	5807	4.52	0.94	1.06	 
520	8037145	14.550	149	19.64453	43.8533	5048	4.47	0.95	0.95	 
521	8162789	14.633	165	19.38234	44.0913	5767	4.39	1.09	1.08	 
522	8265218	14.406	172	20.07653	44.1045	5663	4.91	0.57	0.97	 
523	8806123	15.000	98.3	19.06981	45.0532	5942	4.42	1.07	1.09	 
524	8934495	14.868	137	18.90294	45.2256	5187	4.70	0.71	0.92	 
525	9119458	14.539	150	20.06052	45.4579	5524	4.28	1.24	1.07	 
526	9157634	14.427	124	19.53715	45.5512	5467	4.63	0.80	0.99	 
528	9941859	14.598	109	19.14007	46.8965	5448	4.35	1.14	1.05	 
530	10266615	14.909	152	19.24471	47.3991	5517	4.84	0.61	0.96	 
531	10395543	14.418	129	19.17941	47.5469	3946	4.49	0.70	0.56	 
532	10454313	14.708	142	18.95048	47.6890	5874	4.54	0.92	1.07	 
533	10513530	14.680	133	18.70942	47.7519	5198	4.44	0.99	0.99	 
534	10554999	14.613	142	19.91092	47.7620	5145	4.79	0.63	0.89	 
535	10873260	14.434	140	19.75904	48.2335	5782	4.45	1.02	1.07	 
536	10965008	14.499	93.3	19.06827	48.4318	5614	4.60	0.84	1.03	 
537	11073351	14.665	112	19.05271	48.6833	5889	4.91	0.58	1.00	 
538	11090765	14.560	114	19.66343	48.6512	5923	4.43	1.06	1.09	 
541	11656721	14.748	81.4	19.26144	49.7620	5369	4.71	0.71	0.96	 
542	11669239	14.350	107	19.70476	49.7746	5509	4.36	1.13	1.06	 
543	11823054	14.707	158	19.74343	50.0958	5166	4.72	0.69	0.91	 
546	12058931	14.896	143	19.32201	50.5862	5989	4.49	0.99	1.09	 
547	12116489	14.773	156	19.63803	50.6730	5086	4.62	0.78	0.92	 
548	12600735	14.020	81.4	19.30005	51.6857	6154	4.57	0.90	1.09	 
550	4165473	14.070	125	19.56467	39.2528	5635	4.68	0.77	1.02	 
551	4270253	14.943	126	19.56872	39.3159	5627	4.67	0.78	1.02	 
552	5122112	14.741	237	19.82655	40.2292	6018	4.43	1.06	1.10	 
554	5443837	14.545	333	19.35674	40.6870	5835	4.64	0.81	1.05	 
555	5709725	14.759	114	19.54156	40.9348	5218	4.63	0.78	0.95	 
557	5774349	14.970	138	19.06077	41.0694	5002	4.42	1.01	0.96	 
558	5978361	14.874	135	19.77752	41.2612	5281	4.58	0.84	0.97	 
559	6422367	14.791	94.7	18.89807	41.8732	5187	4.47	0.96	0.98	 
560	6501635	14.721	146	18.92220	41.9787	5142	4.83	0.59	0.88	 
561	6665695	14.005	89.5	18.80031	42.1765	5059	4.60	0.80	0.92	 
563	6707833	14.519	79.4	19.73547	42.1420	5879	4.48	0.99	1.08	 
564	6786037	14.854	115	19.61873	42.2910	5686	4.53	0.93	1.05	 
566	7119481	14.718	96.8	19.48773	42.6263	5865	4.56	0.90	1.07	 
567	7445445	14.338	116	19.46346	43.0747	5536	4.52	0.92	1.03	 
568	7595157	14.140	70.4	19.15303	43.2799	5265	4.86	0.58	0.90	 
569	8008206	14.458	107	18.83121	43.8899	5039	4.55	0.85	0.93	 
571	8120608	14.625	187	19.91018	43.9550	3881	4.54	0.64	0.51	 
572	8193178	14.173	102	19.98643	44.0893	5666	4.31	1.21	1.09	 
573	8344004	14.674	124	18.75198	44.3155	5729	4.35	1.15	1.08	 
574	8355239	14.859	169	19.17098	44.3050	5047	4.67	0.73	0.90	 
575	8367113	14.686	89.8	19.49516	44.3813	5979	4.48	0.99	1.09	 
577	8558011	14.405	0	19.40381	44.6324	5043	4.31	1.15	1.00	 
578	8565266	14.684	159	19.59220	44.6381	5777	4.36	1.14	1.09	 
579	8616637	14.137	107	19.23894	44.7338	5074	4.60	0.80	0.92	 
580	8625925	14.856	143	19.48135	44.7000	5603	4.92	0.56	0.96	 
581	8822216	14.807	158	19.54476	45.0656	5514	4.86	0.60	0.95	 
582	9020160	14.808	159	19.41223	45.3232	5103	4.65	0.75	0.92	 
583	9076513	14.573	96.6	19.06700	45.4804	5735	4.55	0.90	1.05	 
584	9146018	14.129	102	19.19453	45.5929	5350	4.80	0.63	0.93	 
585	9279669	14.911	148	19.42364	45.7479	5437	4.74	0.70	0.96	 
586	9570741	14.608	122	18.85245	46.2450	5707	4.67	0.78	1.03	 
587	9607164	14.574	123	19.89232	46.2760	5112	4.42	1.01	0.98	 
588	9631762	14.337	114	18.83004	46.3214	4431	4.46	0.85	0.76	 
